#{"t_start": 1761668003.085287, "env_id": "CrafterReward-v1"}
r,l,t
0.1,170,1.694299
0.1,161,2.084822
1.1,195,3.975942
2.1,182,4.442619
2.1,157,4.83142
0.1,149,5.188512
2.1,192,5.627979
2.1,152,5.999936
3.1,166,6.41142
2.1,150,6.759885
2.1,126,7.099148
1.1,190,7.558411
0.1,173,7.960641
0.1,165,8.33048
2.1,156,8.717666
2.1,186,9.267487
0.1,146,9.704362
2.1,172,10.20042
-0.9,39,10.370641
0.1,159,10.747301
2.1,172,11.265435
4.1,193,11.820903
2.1,178,12.326335
2.1,155,12.826875
0.1,160,13.372405
3.1,210,13.996694
2.1,154,14.44523
2.1,105,14.795138
3.1,187,15.305503
3.1,159,15.823304
3.1,210,16.391475
0.1,142,16.874674
1.1,231,17.473162
0.1,194,19.399667
1.1,62,19.617932
3.1,175,20.034945
2.1,164,20.394639
0.1,126,20.713121
0.1,143,21.077658
3.1,267,21.698898
4.1,183,22.164366
2.1,208,22.644222
0.1,149,23.032138
2.1,155,23.402246
0.1,165,23.858629
2.1,146,24.321537
0.1,192,24.867687
-0.9,113,25.18684
1.1,184,27.129244
2.1,177,27.557934
0.1,138,27.908746
0.1,185,28.42479
0.1,148,28.833784
1.1,141,29.217565
2.1,158,29.701909
3.1,143,30.056506
0.1,259,30.704861
1.1,183,31.31052
0.1,180,31.816496
0.1,181,32.257117
2.1,184,32.698202
2.1,149,33.072009
0.1,166,33.479949
1.1,146,33.840797
0.1,154,34.213492
0.1,212,34.703996
0.1,160,35.086751
1.1,175,35.496797
0.1,152,35.844711
2.1,213,36.356234
3.1,120,36.673135
0.1,205,37.175268
0.1,144,37.554187
0.1,165,37.966912
2.1,266,38.604574
2.1,147,38.979403
3.1,209,40.899251
2.1,182,41.312576
3.1,143,41.689053
0.1,163,42.085252
2.1,178,42.534017
3.1,227,43.060755
4.1,184,43.488457
0.1,190,43.935578
2.1,176,44.368548
3.1,198,44.889086
0.1,167,45.293619
1.1,199,45.800431
0.1,155,46.205138
1.1,157,46.598054
4.1,206,47.104763
0.1,178,47.624012
-0.9,149,48.068615
1.1,153,48.584519
1.1,139,49.04688
0.1,100,49.40396
-0.9,71,49.666476
3.1,173,50.166182
1.1,137,50.554573
3.1,217,51.095433
0.1,160,52.149698
2.1,190,53.509331
2.1,171,53.941887
1.1,193,54.509543
0.1,186,55.060709
0.1,148,55.439624
2.1,205,55.928547
0.1,204,56.499621
1.1,188,57.092007
0.1,149,57.540478
1.1,168,57.943474
0.1,78,58.181885
1.1,191,58.675631
0.1,161,59.084731
1.1,169,59.550598
2.1,164,59.949018
0.1,151,60.324406
0.1,152,60.696149
-0.9,114,60.988272
0.1,162,61.366481
0.1,132,61.737867
1.1,185,62.170811
0.1,105,62.468211
0.1,147,62.825336
2.1,182,63.265462
0.1,152,63.626411
3.1,250,64.221637
1.1,182,64.660478
-0.9,171,65.085072
3.1,147,65.457968
2.1,171,65.911607
3.1,202,66.410837
3.1,153,66.788787
1.1,151,67.143469
6.1,181,67.589631
3.1,173,68.04086
1.1,149,68.439542
1.1,185,68.948312
2.1,156,69.45224
2.1,135,69.79622
2.1,146,71.626675
0.1,151,71.983099
3.1,250,72.744844
2.1,141,73.125186
1.1,151,73.59435
1.1,170,74.104302
1.1,164,74.577676
0.1,147,74.993013
1.1,173,75.403815
4.1,247,76.068353
0.1,137,76.42344
1.1,183,76.892558
0.1,153,77.282237
0.1,216,77.828355
0.1,160,78.236007
2.1,170,78.690995
3.1,204,79.272327
1.1,140,79.714263
1.1,164,80.271646
0.1,67,80.555578
0.1,159,81.042384
0.1,196,81.582267
0.1,184,82.151342
0.1,186,82.7089
0.1,192,83.232125
2.1,165,83.760709
0.1,95,84.115386
0.1,183,84.690761
0.1,164,85.165642
-0.9,92,85.45117
2.1,168,85.89522
1.1,151,86.354232
0.1,119,86.742764
1.1,171,87.224674
0.1,146,87.65612
2.1,137,88.05093
2.1,166,88.462409
0.1,246,90.548277
0.1,167,90.956477
2.1,155,91.366891
0.1,174,91.794281
1.1,151,92.206269
0.1,172,92.647708
1.1,158,93.041171
0.1,159,93.455171
2.1,197,93.923988
2.1,133,94.256699
